"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"348","RT @meme___mom: Living Room Routine!

The Perks of Being a Wallflower (2012) https://t.co/8SR8PtPWdc",FALSE,0,NA,2017-04-21 01:55:21,FALSE,NA,"855238495358652418",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__xaniada",44,TRUE,FALSE,NA,NA
"349","RT @Moviepicts: The Perks of Being a Wallflower (2012) https://t.co/FpigoAzzXD",FALSE,0,NA,2017-04-21 01:50:48,FALSE,NA,"855237348656852993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mattsamss_",1448,TRUE,FALSE,NA,NA
"350","With Perks of Being A Wallflower, I have always related on an intensely personal level with Charlie",FALSE,1,NA,2017-04-21 01:42:44,FALSE,NA,"855235321331503104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessikasays_",0,FALSE,FALSE,NA,NA
"351","RT @softastroIogy: cancer ♋️

The Perks Of Being A Wallflower (2012) https://t.co/EyLKknnAEL",FALSE,0,NA,2017-04-21 01:36:12,FALSE,NA,"855233675797159936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CAGETHEAKRlDGE",376,TRUE,FALSE,NA,NA
"352","RT @softastroIogy: cancer ♋️

The Perks Of Being A Wallflower (2012) https://t.co/EyLKknnAEL",FALSE,0,NA,2017-04-21 01:32:39,FALSE,NA,"855232782821412864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","lizziegrizzie",376,TRUE,FALSE,NA,NA
"353","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 01:26:25,FALSE,NA,"855231215938396161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MigSaavedra",351,TRUE,FALSE,NA,NA
"354","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 01:26:11,FALSE,NA,"855231156098392064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MicaCappella",351,TRUE,FALSE,NA,NA
"355","6. @areadersworld 
•blue
•musicals
•movies
•milkshakes 
•perks of being a wallflower https://t.co/79eBh5BtW8",FALSE,6,"TheHufflePuffle",2017-04-21 01:13:48,FALSE,"855226185005101056","855228038363185153","2844372958","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheHufflePuffle",0,FALSE,FALSE,NA,NA
"356","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 01:06:48,FALSE,NA,"855226277040488448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nojumperwoody",351,TRUE,FALSE,NA,NA
"357","The Perks of Being a Wallflower https://t.co/rx2iSbkAVZ",FALSE,0,NA,2017-04-21 01:05:55,FALSE,NA,"855226055782801408",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","GreatMovieQU0TE",0,FALSE,FALSE,NA,NA
